"geoid","region_name","measure","value","year","measure_type","region_type"
"51137","Orange County, Virginia","adequate",89,2014,"count","county"
"51139","Page County, Virginia","adequate",110,2014,"count","county"
"51141","Patrick County, Virginia","adequate",15,2014,"count","county"
"51143","Pittsylvania County, Virginia","adequate",122,2014,"count","county"
"51145","Powhatan County, Virginia","adequate",60,2014,"count","county"
"51147","Prince Edward County, Virginia","adequate",91,2014,"count","county"
"51149","Prince George County, Virginia","adequate",92,2014,"count","county"
"51153","Prince William County, Virginia","adequate",2214,2014,"count","county"
"51155","Pulaski County, Virginia","adequate",112,2014,"count","county"
"51157","Rappahannock County, Virginia","adequate",29,2014,"count","county"
"51159","Richmond County, Virginia","adequate",26,2014,"count","county"
"51161","Roanoke County, Virginia","adequate",125,2014,"count","county"
"51163","Rockbridge County, Virginia","adequate",46,2014,"count","county"
"51165","Rockingham County, Virginia","adequate",453,2014,"count","county"
"51167","Russell County, Virginia","adequate",22,2014,"count","county"
"51169","Scott County, Virginia","adequate",2,2014,"count","county"
"51171","Shenandoah County, Virginia","adequate",191,2014,"count","county"
"51173","Smyth County, Virginia","adequate",19,2014,"count","county"
"51175","Southampton County, Virginia","adequate",53,2014,"count","county"
"51177","Spotsylvania County, Virginia","adequate",585,2014,"count","county"
"51179","Stafford County, Virginia","adequate",626,2014,"count","county"
"51181","Surry County, Virginia","adequate",18,2014,"count","county"
"51183","Sussex County, Virginia","adequate",24,2014,"count","county"
"51185","Tazewell County, Virginia","adequate",70,2014,"count","county"
"51187","Warren County, Virginia","adequate",194,2014,"count","county"
"51191","Washington County, Virginia","adequate",3,2014,"count","county"
"51193","Westmoreland County, Virginia","adequate",62,2014,"count","county"
"51195","Wise County, Virginia","adequate",119,2014,"count","county"
"51197","Wythe County, Virginia","adequate",117,2014,"count","county"
"51199","York County, Virginia","adequate",143,2014,"count","county"
"51510","Alexandria city, Virginia","adequate",945,2014,"count","county"
"51520","Bristol city, Virginia","adequate",2,2014,"count","county"
"51530","Buena Vista city, Virginia","adequate",2,2014,"count","county"
"51540","Charlottesville city, Virginia","adequate",101,2014,"count","county"
"51550","Chesapeake city, Virginia","adequate",1273,2014,"count","county"
"51570","Colonial Heights city, Virginia","adequate",66,2014,"count","county"
"51590","Danville city, Virginia","adequate",229,2014,"count","county"
"51600","Fairfax city, Virginia","adequate",276,2014,"count","county"
"51610","Falls Church city, Virginia","adequate",75,2014,"count","county"
"51620","Franklin city, Virginia","adequate",12,2014,"count","county"
"51630","Fredericksburg city, Virginia","adequate",127,2014,"count","county"
"51640","Galax city, Virginia","adequate",23,2014,"count","county"
"51650","Hampton city, Virginia","adequate",241,2014,"count","county"
"51660","Harrisonburg city, Virginia","adequate",277,2014,"count","county"
"51670","Hopewell city, Virginia","adequate",84,2014,"count","county"
"51680","Lynchburg city, Virginia","adequate",37,2014,"count","county"
"51683","Manassas city, Virginia","adequate",165,2014,"count","county"
"51685","Manassas Park city, Virginia","adequate",7,2014,"count","county"
"51690","Martinsville city, Virginia","adequate",45,2014,"count","county"
"51700","Newport News city, Virginia","adequate",319,2014,"count","county"
"51710","Norfolk city, Virginia","adequate",1266,2014,"count","county"
"51720","Norton city, Virginia","adequate",6,2014,"count","county"
"51730","Petersburg city, Virginia","adequate",201,2014,"count","county"
"51735","Poquoson city, Virginia","adequate",8,2014,"count","county"
"51740","Portsmouth city, Virginia","adequate",674,2014,"count","county"
"51750","Radford city, Virginia","adequate",50,2014,"count","county"
"51760","Richmond city, Virginia","adequate",610,2014,"count","county"
"51770","Roanoke city, Virginia","adequate",180,2014,"count","county"
"51775","Salem city, Virginia","adequate",120,2014,"count","county"
"51790","Staunton city, Virginia","adequate",103,2014,"count","county"
"51800","Suffolk city, Virginia","adequate",490,2014,"count","county"
"51810","Virginia Beach city, Virginia","adequate",1624,2014,"count","county"
"51820","Waynesboro city, Virginia","adequate",101,2014,"count","county"
"51830","Williamsburg city, Virginia","adequate",37,2014,"count","county"
"51840","Winchester city, Virginia","adequate",104,2014,"count","county"
"51001","Accomack County, Virginia","adequateplus",46,2014,"count","county"
"51003","Albemarle County, Virginia","adequateplus",164,2014,"count","county"
"51005","Alleghany County, Virginia","adequateplus",7,2014,"count","county"
"51007","Amelia County, Virginia","adequateplus",14,2014,"count","county"
"51009","Amherst County, Virginia","adequateplus",4,2014,"count","county"
"51011","Appomattox County, Virginia","adequateplus",1,2014,"count","county"
"51013","Arlington County, Virginia","adequateplus",353,2014,"count","county"
"51015","Augusta County, Virginia","adequateplus",282,2014,"count","county"
"51017","Bath County, Virginia","adequateplus",6,2014,"count","county"
"51019","Bedford County, Virginia","adequateplus",8,2014,"count","county"
"51021","Bland County, Virginia","adequateplus",10,2014,"count","county"
"51023","Botetourt County, Virginia","adequateplus",12,2014,"count","county"
"51025","Brunswick County, Virginia","adequateplus",16,2014,"count","county"
"51027","Buchanan County, Virginia","adequateplus",29,2014,"count","county"
"51029","Buckingham County, Virginia","adequateplus",22,2014,"count","county"
"51031","Campbell County, Virginia","adequateplus",7,2014,"count","county"
"51033","Caroline County, Virginia","adequateplus",93,2014,"count","county"
"51035","Carroll County, Virginia","adequateplus",88,2014,"count","county"
"51036","Charles City County, Virginia","adequateplus",13,2014,"count","county"
"51037","Charlotte County, Virginia","adequateplus",13,2014,"count","county"
"51041","Chesterfield County, Virginia","adequateplus",408,2014,"count","county"
"51043","Clarke County, Virginia","adequateplus",21,2014,"count","county"
"51045","Craig County, Virginia","adequateplus",2,2014,"count","county"
"51047","Culpeper County, Virginia","adequateplus",85,2014,"count","county"
"51049","Cumberland County, Virginia","adequateplus",15,2014,"count","county"
"51051","Dickenson County, Virginia","adequateplus",15,2014,"count","county"
"51053","Dinwiddie County, Virginia","adequateplus",32,2014,"count","county"
"51057","Essex County, Virginia","adequateplus",54,2014,"count","county"
"51059","Fairfax County, Virginia","adequateplus",3676,2014,"count","county"
"51061","Fauquier County, Virginia","adequateplus",108,2014,"count","county"
"51063","Floyd County, Virginia","adequateplus",12,2014,"count","county"
"51065","Fluvanna County, Virginia","adequateplus",21,2014,"count","county"
"51067","Franklin County, Virginia","adequateplus",21,2014,"count","county"
"51069","Frederick County, Virginia","adequateplus",90,2014,"count","county"
"51071","Giles County, Virginia","adequateplus",32,2014,"count","county"
"51073","Gloucester County, Virginia","adequateplus",30,2014,"count","county"
"51075","Goochland County, Virginia","adequateplus",42,2014,"count","county"
"51077","Grayson County, Virginia","adequateplus",50,2014,"count","county"
"51079","Greene County, Virginia","adequateplus",25,2014,"count","county"
"51081","Greensville County, Virginia","adequateplus",19,2014,"count","county"
"51083","Halifax County, Virginia","adequateplus",68,2014,"count","county"
"51085","Hanover County, Virginia","adequateplus",255,2014,"count","county"
"51087","Henrico County, Virginia","adequateplus",832,2014,"count","county"
"51089","Henry County, Virginia","adequateplus",67,2014,"count","county"
"51091","Highland County, Virginia","adequateplus",5,2014,"count","county"
"51093","Isle of Wight County, Virginia","adequateplus",91,2014,"count","county"
"51095","James City County, Virginia","adequateplus",143,2014,"count","county"
"51097","King and Queen County, Virginia","adequateplus",25,2014,"count","county"
"51099","King George County, Virginia","adequateplus",57,2014,"count","county"
"51101","King William County, Virginia","adequateplus",56,2014,"count","county"
"51103","Lancaster County, Virginia","adequateplus",20,2014,"count","county"
"51105","Lee County, Virginia","adequateplus",18,2014,"count","county"
